HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Schalke 04,H,79,34,32,14,45,50,8,7,0,0,3,0,1,1,0,3,1.1,11.0,21.0
Ein Frankfurt,Bielefeld,D,56,37,29,8,56,48,8,6,0,0,1,0,3,1,0,3,1.61,4.2,5.25
FC Koln,Hoffenheim,A,49,56,17,24,71,55,8,8,0,0,0,1,1,1,4,2,2.6,3.5,2.6
Stuttgart,Freiburg,A,58,29,27,10,45,56,9,10,0,0,0,1,3,1,1,2,2.25,3.5,3.1
Union Berlin,Augsburg,A,57,35,21,7,48,42,4,7,0,1,2,1,1,2,1,1,2.3,3.3,3.2
Werder Bremen,Hertha,A,47,45,11,14,55,66,8,7,0,1,1,2,2,0,1,2,2.6,3.5,2.62
Dortmund,M'gladbach,H,57,61,15,22,38,44,4,9,0,0,3,2,0,0,1,2,1.6,4.33,5.0
RB Leipzig,Mainz,H,88,43,25,12,42,44,5,8,0,0,4,1,0,0,0,3,1.33,5.75,8.0
Wolfsburg,Leverkusen,D,54,58,23,34,47,56,4,8,0,0,2,3,2,2,0,0,2.87,3.5,2.37
Hertha,Ein Frankfurt,A,55,50,22,21,47,62,9,10,0,0,0,1,1,2,3,1,2.25,3.75,2.9
Augsburg,Dortmund,H,36,67,14,32,40,49,11,7,0,0,2,3,0,0,2,1,7.0,4.75,1.44
Bielefeld,FC Koln,H,24,34,10,15,36,48,5,10,0,0,1,0,0,2,3,1,2.62,3.5,2.6
Leverkusen,RB Leipzig,D,41,47,13,19,45,52,6,10,0,0,2,1,1,2,0,1,3.0,3.5,2.3
Mainz,Stuttgart,A,45,61,16,21,59,59,11,10,1,1,0,2,1,2,3,0,2.37,3.5,2.9
M'gladbach,Union Berlin,D,47,47,16,22,45,56,6,7,0,0,1,2,3,2,0,0,1.44,4.5,7.5
Schalke 04,Werder Bremen,A,47,49,22,13,50,52,12,11,1,0,0,1,2,3,2,0,2.5,3.4,2.8
Hoffenheim,Bayern Munich,H,48,53,13,19,62,37,8,6,1,1,1,3,1,0,2,1,11.0,7.5,1.2
Freiburg,Wolfsburg,D,67,52,26,15,36,52,5,7,0,0,0,1,2,3,2,0,3.2,3.3,2.3
Union Berlin,Mainz,H,57,43,21,12,48,44,4,8,0,0,2,1,1,0,1,3,2.05,3.6,3.4
Dortmund,Freiburg,H,57,29,15,10,38,56,4,10,0,0,3,1,0,1,1,2,1.28,6.0,9.0
Ein Frankfurt,Hoffenheim,H,56,56,29,24,56,55,8,8,0,0,1,1,3,1,0,2,2.37,3.7,2.8
FC Koln,M'gladbach,A,49,61,17,22,71,44,8,9,0,0,0,2,1,0,4,2,3.8,4.0,1.85
Stuttgart,Leverkusen,D,58,58,27,34,45,56,9,8,0,0,0,3,3,2,1,0,3.8,3.8,1.85
Werder Bremen,Bielefeld,H,47,37,11,8,55,48,8,6,0,0,1,0,2,1,1,3,2.15,3.5,3.3
RB Leipzig,Schalke 04,H,88,34,25,14,42,50,5,7,0,0,4,0,0,1,0,3,1.25,6.5,10.0
Wolfsburg,Augsburg,D,54,35,23,7,47,42,4,7,0,1,2,1,2,2,0,1,2.0,3.6,3.7
Bayern Munich,Hertha,H,79,45,32,14,45,66,8,7,0,1,3,2,1,0,0,2,1.16,8.0,15.0
Augsburg,RB Leipzig,A,36,47,14,19,40,52,11,10,0,0,2,1,0,2,2,1,5.75,4.5,1.53
Freiburg,Werder Bremen,D,67,49,26,13,36,52,5,11,0,0,0,1,2,3,2,0,2.25,3.5,3.1
Hertha,Stuttgart,A,55,61,22,21,47,59,9,10,0,1,0,2,1,2,3,0,2.05,3.8,3.3
Hoffenheim,Dortmund,A,48,67,13,32,62,49,8,7,1,0,1,3,1,0,2,1,4.0,4.33,1.75
Mainz,Leverkusen,A,45,58,16,34,59,56,11,8,1,0,0,3,1,2,3,0,5.5,4.33,1.57
Bielefeld,Bayern Munich,A,24,53,10,19,36,37,5,6,0,1,1,3,0,0,3,1,13.0,8.5,1.16
M'gladbach,Wolfsburg,D,47,52,16,15,45,52,6,7,0,0,1,1,3,3,0,0,1.85,3.8,4.0
FC Koln,Ein Frankfurt,D,49,50,17,21,71,62,8,10,0,0,0,1,1,2,4,1,3.2,3.8,2.1
Schalke 04,Union Berlin,D,47,47,22,22,50,56,12,7,1,0,0,2,2,2,2,0,2.75,3.25,2.6
Stuttgart,FC Koln,D,58,34,27,15,45,48,9,10,0,0,0,0,3,2,1,1,1.85,3.8,3.8
Bayern Munich,Ein Frankfurt,H,79,50,32,21,45,62,8,10,0,0,3,1,1,2,0,1,1.16,7.5,9.0
Mainz,M'gladbach,A,45,61,16,22,59,44,11,9,1,0,0,2,1,0,3,2,4.75,4.33,1.61
RB Leipzig,Hertha,H,88,45,25,14,42,66,5,7,0,1,4,2,0,0,0,2,1.4,4.5,7.0
Union Berlin,Freiburg,D,57,29,21,10,48,56,4,10,0,0,2,1,1,1,1,2,2.3,3.3,3.1
Dortmund,Schalke 04,H,57,34,15,14,38,50,4,7,0,0,3,0,0,1,1,3,1.16,6.5,12.0
Wolfsburg,Bielefeld,H,54,37,23,8,47,48,4,6,0,0,2,0,2,1,0,3,1.65,3.75,5.25
Werder Bremen,Hoffenheim,D,47,56,11,24,55,55,8,8,0,0,1,1,2,1,1,2,3.0,3.75,2.2
Leverkusen,Augsburg,H,41,35,13,7,45,42,6,7,0,1,2,1,1,2,0,1,1.6,4.2,5.25
Schalke 04,Stuttgart,D,47,61,22,21,50,59,12,10,1,1,0,2,2,2,2,0,3.1,3.6,2.15
Augsburg,Mainz,H,36,43,14,12,40,44,11,8,0,0,2,1,0,0,2,3,2.0,3.75,3.5
Bielefeld,Dortmund,A,24,67,10,32,36,49,5,7,0,0,1,3,0,0,3,1,7.5,5.0,1.4
Ein Frankfurt,Werder Bremen,D,56,49,29,13,56,52,8,11,0,0,1,1,3,3,0,0,1.72,4.0,4.5
FC Koln,Bayern Munich,A,49,53,17,19,71,37,8,6,0,1,0,3,1,0,4,1,12.0,8.0,1.18
M'gladbach,RB Leipzig,H,47,47,16,19,45,52,6,10,0,0,1,1,3,2,0,1,3.0,3.6,2.25
Freiburg,Leverkusen,A,67,58,26,34,36,56,5,8,0,0,0,3,2,2,2,0,3.8,3.5,1.95
Hertha,Wolfsburg,D,55,52,22,15,47,52,9,7,0,0,0,1,1,3,3,0,2.62,3.5,2.55
Hoffenheim,Union Berlin,A,48,47,13,22,62,56,8,7,1,0,1,2,1,2,2,0,1.85,4.0,3.8
Werder Bremen,FC Koln,D,47,34,11,15,55,48,8,10,0,0,1,0,2,2,1,1,2.37,3.6,2.87
Augsburg,Hertha,A,36,45,14,14,40,66,11,7,0,1,2,2,0,0,2,2,2.9,3.5,2.3
Mainz,Schalke 04,D,45,34,16,14,59,50,11,7,1,0,0,0,1,1,3,3,2.1,3.4,3.4
RB Leipzig,Freiburg,H,88,29,25,10,42,56,5,10,0,0,4,1,0,1,0,2,1.36,4.75,9.0
Stuttgart,Ein Frankfurt,D,58,50,27,21,45,62,9,10,0,0,0,1,3,2,1,1,2.55,3.6,2.5
Union Berlin,Bielefeld,H,57,37,21,8,48,48,4,6,0,0,2,0,1,1,1,3,1.83,3.75,4.2
Dortmund,Bayern Munich,A,57,53,15,19,38,37,4,6,0,1,3,3,0,0,1,1,4.0,4.33,1.75
Wolfsburg,Hoffenheim,H,54,56,23,24,47,55,4,8,0,0,2,1,2,1,0,2,2.1,3.6,3.25
Leverkusen,M'gladbach,H,41,61,13,22,45,44,6,9,0,0,2,2,1,0,0,2,2.2,3.5,3.0
Bayern Munich,Werder Bremen,D,79,49,32,13,45,52,8,11,0,0,3,1,1,3,0,0,1.1,10.0,23.0
Bielefeld,Leverkusen,A,24,58,10,34,36,56,5,8,0,0,1,3,0,2,3,0,5.75,4.6,1.5
Hoffenheim,Stuttgart,D,48,61,13,21,62,59,8,10,1,1,1,2,1,2,2,0,2.3,3.75,2.8
M'gladbach,Augsburg,D,47,35,16,7,45,42,6,7,0,1,1,1,3,2,0,1,1.5,4.5,6.0
Schalke 04,Wolfsburg,A,47,52,22,15,50,52,12,7,1,0,0,1,2,3,2,0,3.8,3.6,1.95
Ein Frankfurt,RB Leipzig,D,56,47,29,19,56,52,8,10,0,0,1,1,3,2,0,1,3.8,4.0,1.85
Hertha,Dortmund,A,55,67,22,32,47,49,9,7,0,0,0,3,1,0,3,1,4.5,4.33,1.65
Freiburg,Mainz,A,67,43,26,12,36,44,5,8,0,0,0,1,2,0,2,3,2.05,3.6,3.4
